N°,Site,Longitude,Latitude,Altitude,Ic,Classe_Ic
2806,Tumbwe,27.38355797,-11.47897857,1327.444,0.76,Mi-dur
2807,Tumbwe,27.3944435,-11.47894981,1347.059,1.19,Dur
2808,Tumbwe,27.39835615,-11.47894142,1352.777,1.78,Dur
2809,Tumbwe,27.38358114,-11.47896068,1327.497,1.77,Dur
2810,Tumbwe,27.39831582,-11.47893855,1352.746,45.19,Dur
2811,Tumbwe,27.38818151,-11.47893419,1337.048,-0.79,Liquide
2812,Tumbwe,27.38672909,-11.47893162,1332.681,1.38,Dur
2813,Tumbwe,27.39178711,-11.47891989,1342.215,3.22,Dur
2814,Tumbwe,27.39828466,-11.47890451,1353.036,1.35,Dur
2815,Tumbwe,27.38472432,-11.47892215,1329.168,1.66,Dur
2816,Tumbwe,27.38738886,-11.47891157,1334.011,1.03,Dur
2817,Tumbwe,27.3983157,-11.47889582,1352.757,2.03,Dur
2818,Tumbwe,27.38342726,-11.47891475,1326.968,0.77,Mi-dur
2819,Tumbwe,27.39578593,-11.47889128,1343.83,1.05,Dur
2820,Tumbwe,27.39826442,-11.47888337,1352.812,0.67,Terne
2821,Tumbwe,27.38942736,-11.47889081,1337.88,1.03,Dur
2822,Tumbwe,27.38350367,-11.47889357,1327.077,27.39,Dur
2823,Tumbwe,27.39793364,-11.47886772,1352.334,1.54,Dur
2824,Tumbwe,27.38337735,-11.47888261,1326.801,1.08,Dur
2825,Tumbwe,27.39824741,-11.47885853,1352.819,1.36,Dur
2826,Tumbwe,27.39828082,-11.47885693,1352.939,1.19,Dur
2827,Tumbwe,27.38349413,-11.47886827,1327.019,1.47,Dur
2828,Tumbwe,27.38313198,-11.47886834,1329.195,1.96,Dur
2829,Tumbwe,27.39435585,-11.47885313,1342.999,0.72,Terne
2830,Tumbwe,27.39571084,-11.47882667,1347.611,0.65,Terne
2831,Tumbwe,27.39822452,-11.47882302,1352.999,1.03,Dur
2832,Tumbwe,27.39825971,-11.47881657,1352.544,0.56,Terne
2833,Tumbwe,27.38343997,-11.47883144,1326.88,1.12,Dur
2834,Tumbwe,27.38328049,-11.47882235,1326.386,3.86,Dur
2835,Tumbwe,27.39820862,-11.47879478,1352.884,1.19,Dur
2836,Tumbwe,27.39824555,-11.47879459,1352.707,0.76,Mi-dur
2837,Tumbwe,27.3978813,-11.4787827,1343.035,1.19,Dur
2838,Tumbwe,27.39401728,-11.47878332,1346.189,1.78,Dur
2839,Tumbwe,27.38630225,-11.47879336,1331.726,1.77,Dur
2840,Tumbwe,27.38328743,-11.47879512,1326.448,45.19,Dur
2841,Tumbwe,27.39210817,-11.47877699,1337.855,-0.79,Liquide
2842,Tumbwe,27.39819114,-11.47876851,1352.661,1.38,Dur
2843,Tumbwe,27.38268339,-11.4787774,1329.235,3.22,Dur
2844,Tumbwe,27.39212984,-11.47875851,1337.966,1.35,Dur
2845,Tumbwe,27.39212983,-11.4787585,1337.964,1.66,Dur
2846,Tumbwe,27.39212987,-11.4787585,1337.968,1.03,Dur
2847,Tumbwe,27.39822003,-11.47875022,1352.598,2.03,Dur
2848,Tumbwe,27.39135948,-11.47875692,1341.282,0.77,Mi-dur
2849,Tumbwe,27.39817457,-11.47874581,1352.511,1.05,Dur
2850,Tumbwe,27.39215569,-11.47875244,1337.928,0.67,Terne
2851,Tumbwe,27.39208676,-11.47875017,1337.945,1.03,Dur
2852,Tumbwe,27.3833041,-11.47876153,1326.446,27.39,Dur
2853,Tumbwe,27.3833041,-11.47876153,1326.446,1.54,Dur
2854,Tumbwe,27.39216083,-11.47874773,1338.099,1.08,Dur
2855,Tumbwe,27.39209277,-11.47874044,1337.87,1.36,Dur
2856,Tumbwe,27.38320587,-11.47875053,1325.884,1.19,Dur
2857,Tumbwe,27.39217636,-11.47873375,1337.936,1.47,Dur
2858,Tumbwe,27.39210938,-11.47873317,1338.012,1.96,Dur
2859,Tumbwe,27.38696596,-11.47873701,1333.021,0.72,Terne
2860,Tumbwe,27.38420615,-11.47873989,1327.78,0.65,Terne
2861,Tumbwe,27.39218558,-11.47872776,1337.96,1.03,Dur
2862,Tumbwe,27.39212971,-11.47872643,1337.842,0.56,Terne
2863,Tumbwe,27.39819568,-11.47870825,1352.465,1.12,Dur
2864,Tumbwe,27.3831509,-11.47872562,1325.711,3.86,Dur
2865,Tumbwe,27.39815536,-11.47870436,1352.495,1.19,Dur
2866,Tumbwe,27.39202827,-11.47870839,1337.847,0.76,Mi-dur
2867,Tumbwe,27.39220465,-11.47869713,1337.992,1.19,Dur
2868,Tumbwe,27.3831088,-11.47870498,1325.377,1.78,Dur
2869,Tumbwe,27.38319259,-11.47870208,1325.874,1.77,Dur
2870,Tumbwe,27.3921906,-11.47868635,1338.008,45.19,Dur
2871,Tumbwe,27.38891663,-11.47868916,1337.325,-0.79,Liquide
2872,Tumbwe,27.38305977,-11.47869481,1325.347,1.38,Dur
2873,Tumbwe,27.39364634,-11.47867974,1342.744,3.22,Dur
2874,Tumbwe,27.39203158,-11.47867489,1337.824,1.35,Dur
2875,Tumbwe,27.39817942,-11.4786639,1352.541,1.66,Dur
2876,Tumbwe,27.38299224,-11.47868326,1324.981,1.03,Dur
2877,Tumbwe,27.39219015,-11.47866985,1338.02,2.03,Dur
2878,Tumbwe,27.39814906,-11.47866057,1352.78,0.77,Mi-dur
2879,Tumbwe,27.39223779,-11.47865622,1338.081,1.05,Dur
2880,Tumbwe,27.38537147,-11.47866414,1332.111,0.67,Terne
2881,Tumbwe,27.39223241,-11.47865456,1338.095,1.03,Dur
2882,Tumbwe,27.39222365,-11.47865254,1337.971,27.39,Dur
2883,Tumbwe,27.3858754,-11.4786551,1330.771,1.54,Dur
2884,Tumbwe,27.39193373,-11.4786399,1337.848,1.08,Dur
2885,Tumbwe,27.39814684,-11.47862723,1352.633,1.36,Dur
2886,Tumbwe,27.39529778,-11.47863052,1346.406,1.19,Dur
2887,Tumbwe,27.38307422,-11.47863972,1325.262,1.47,Dur
2888,Tumbwe,27.39225545,-11.4786234,1338.076,1.96,Dur
2889,Tumbwe,27.38300299,-11.4786324,1324.956,0.72,Terne
2890,Tumbwe,27.38307442,-11.47863159,1325.294,0.65,Terne
2891,Tumbwe,27.39359105,-11.47861682,1345.319,1.03,Dur
2892,Tumbwe,27.39195286,-11.47861438,1337.845,0.56,Terne
2893,Tumbwe,27.39816531,-11.47860542,1352.531,1.12,Dur
2894,Tumbwe,27.39224772,-11.47861303,1338.092,3.86,Dur
2895,Tumbwe,27.39815233,-11.47860097,1352.376,1.19,Dur
2896,Tumbwe,27.39224766,-11.47860386,1338.032,0.76,Mi-dur
2897,Tumbwe,27.39613072,-11.47859327,1342.954,1.19,Dur
2898,Tumbwe,27.39229638,-11.47859797,1338.152,1.78,Dur
2899,Tumbwe,27.39228449,-11.47859547,1338.006,1.77,Dur
2900,Tumbwe,27.39093186,-11.47859396,1340.348,45.19,Dur
2901,Tumbwe,27.39227211,-11.47858589,1338.076,-0.79,Liquide
2902,Tumbwe,27.39183973,-11.47858488,1337.852,1.38,Dur
2903,Tumbwe,27.39183973,-11.47858488,1337.852,3.22,Dur
2904,Tumbwe,27.39816276,-11.47856814,1352.398,1.35,Dur
2905,Tumbwe,27.38302044,-11.47858241,1324.896,1.66,Dur
2906,Tumbwe,27.3981492,-11.47855805,1352.359,1.03,Dur
2907,Tumbwe,27.39185648,-11.47855744,1337.789,2.03,Dur
2908,Tumbwe,27.38654306,-11.47856245,1332.031,0.77,Mi-dur
2909,Tumbwe,27.38310124,-11.47856691,1325.317,1.05,Dur
2910,Tumbwe,27.39232575,-11.4785531,1338.323,0.67,Terne
